Time,V(OUT1),V(NODE4),
0.00514,-1.5792085036320622,-1.4400000000000048,
0.00515,-1.5282730468957446,-1.4000000000000021,
0.00516,-1.4285678025437765,-1.360000000000003,
0.00517,-1.3089066154347613,-1.3200000000000003,
0.00518,-1.2027078410622858,-1.2800000000000047,
0.00519,-1.1347240825882037,-1.240000000000002,
0.0052,-1.1123397460201252,-1.2000000000000028,
0.00521,-1.12429738339628,-1.1600000000000037,
0.00522,-1.1467091690655207,-1.120000000000001,
0.00523,-1.1534760974493765,-1.0799999999999983,
0.00524,-1.1267735410897632,-1.0399999999999991,
0.00525,-1.0635373223770075,-1,
0.00526,-0.9756914320092893,-0.9600000000000009,
0.00527,-0.8844227172091484,-0.9199999999999982,
0.00528,-0.8111078528899862,-0.8800000000000026,
0.00529,-0.7686637849770378,-0.8399999999999999,
0.0053,-0.7567307656682134,-0.8000000000000007,
0.00531,-0.7624195389363335,-0.7600000000000051,
0.00532,-0.7660732283041822,-0.7200000000000024,
0.00533,-0.7495271897876151,-0.6799999999999997,
0.00534,-0.7034558404053006,-0.639999999999997,
0.00535,-0.6308862155098687,-0.6000000000000014,
0.00536,-0.5455917666722061,-0.5599999999999987,
0.00537,-0.4661729889274929,-0.5200000000000031,
0.00538,-0.4083397367746646,-0.4800000000000004,
0.00539,-0.37856533416654675,-0.4400000000000013,
0.0054,-0.37165121121391775,-0.3999999999999986,
0.00541,-0.3731055466792992,-0.360000000000003,
0.00542,-0.36527587721572785,-0.3200000000000003,
0.00543,-0.3346764286292396,-0.2800000000000047,
0.00544,-0.2775086604378841,-0.240000000000002,
0.00545,-0.20114863553201778,-0.20000000000000284,
0.00546,-0.12103838643743285,-0.16000000000000014,
0.00547,-0.05429005751135033,-0.120000000000001,
0.00548,-0.012635363496981432,-0.08000000000000185,
0.00549,0.0023996388547190698,-0.03999999999999915,
0.0055,0.0001349444811613296,-3.552713678800501e-15,
0.00551,-0.003057578722525787,0.03999999999999915,
0.00552,0.0095721497598305,0.0799999999999983,
0.00553,0.04832432991444736,0.120000000000001,
0.00554,0.1128545502391289,0.1599999999999966,
0.00555,0.1923304167148725,0.1999999999999993,
0.00556,0.2698870356598622,0.23999999999999488,
0.00557,0.3295734747953109,0.2799999999999976,
0.00558,0.3629544396290979,0.31999999999999673,
0.00559,0.3726527365984221,0.35999999999999943,
0.0056,0.3713479830021541,0.3999999999999986,
0.00561,0.37659536747342864,0.4400000000000013,
0.00562,0.4035493763227276,0.4800000000000004,
0.00563,0.4585685420628624,0.519999999999996,
0.00564,0.5363632045892518,0.5599999999999987,
0.00565,0.6219375388005934,0.5999999999999979,
0.00566,0.6966256365427986,0.639999999999997,
0.00567,0.7458153902622818,0.6799999999999962,
0.00568,0.7651959212396178,0.7199999999999989,
